,postcode,locality,state,long,lat,SA2_MAINCODE_2016,SA2_NAME_2016,lgaregion
0,3000,MELBOURNE,VIC,144.956776,-37.817403,206041122.0,Melbourne,Melbourne
1,3001,MELBOURNE,VIC,144.956776,-37.817403,206041122.0,Melbourne,Moonee Valley
2,3002,EAST MELBOURNE,VIC,144.982207,-37.818517,206041119.0,East Melbourne,Yarra
3,3003,WEST MELBOURNE,VIC,144.949592,-37.810871,206041127.0,West Melbourne,Melbourne
4,3004,MELBOURNE,VIC,144.970161,-37.844246,206041126.0,Southbank,Yarra
5,3004,ST KILDA ROAD CENTRAL,VIC,144.970161,-37.844246,206041125.0,South Yarra - West,Yarra
6,3004,ST KILDA ROAD MELBOURNE,VIC,144.976,-37.8368,206041125.0,South Yarra - West,Yarra
7,3005,WORLD TRADE CENTRE,VIC,144.950858,-37.824608,206041118.0,Docklands,Melbourne
8,3006,SOUTH WHARF,VIC,144.9520744,-37.82528675,206041126.0,Southbank,Port Phillip
9,3006,SOUTHBANK,VIC,144.965926,-37.823258,206051132.0,South Melbourne,Port Phillip
10,3008,DOCKLANDS,VIC,144.948039,-37.814719,206041118.0,Docklands,Melbourne
11,3010,UNIVERSITY OF MELBOURNE,VIC,144.961351,-37.796152,206041124.0,Parkville,Melbourne
12,3011,FOOTSCRAY,VIC,144.907953,-37.807101,213031348.0,Footscray,Moonee Valley
13,3011,SEDDON,VIC,144.907953,-37.807101,213031350.0,Seddon - Kingsville,Moonee Valley
14,3011,SEDDON WEST,VIC,144.907953,-37.807101,213031350.0,Seddon - Kingsville,Moonee Valley
15,3012,BROOKLYN,VIC,144.861162,-37.807135,213011338.0,Sunshine West,Wyndham
16,3012,KINGSVILLE,VIC,144.861162,-37.807135,213031350.0,Seddon - Kingsville,Wyndham
17,3012,KINGSVILLE WEST,VIC,144.861162,-37.807135,213031350.0,Seddon - Kingsville,Wyndham
18,3012,MAIDSTONE,VIC,144.861162,-37.807135,213031347.0,Braybrook,Wyndham
19,3012,TOTTENHAM,VIC,144.861162,-37.807135,213031351.0,West Footscray - Tottenham,Wyndham
20,3012,WEST FOOTSCRAY,VIC,144.861162,-37.807135,213031351.0,West Footscray - Tottenham,Wyndham
21,3013,YARRAVILLE,VIC,144.888686,-37.814183,213031352.0,Yarraville,Melbourne
22,3013,YARRAVILLE WEST,VIC,144.888686,-37.814183,213031352.0,Yarraville,Melbourne
23,3015,NEWPORT,VIC,144.880556,-37.838242,213021344.0,Newport,Melbourne
24,3015,SOUTH KINGSVILLE,VIC,144.880556,-37.838242,213021344.0,Newport,Melbourne
25,3015,SPOTSWOOD,VIC,144.880556,-37.838242,213021344.0,Newport,Melbourne
26,3016,WILLIAMSTOWN,VIC,144.888461,-37.863743,213021346.0,Williamstown,Hobsons Bay
27,3016,WILLIAMSTOWN NORTH,VIC,144.888461,-37.863743,213021346.0,Williamstown,Hobsons Bay
28,3018,ALTONA,VIC,144.812736,-37.86172,213021341.0,Altona,Wyndham
29,3018,SEAHOLME,VIC,144.812736,-37.86172,213021341.0,Altona,Wyndham
30,3019,BRAYBROOK,VIC,144.854014,-37.784683,213031347.0,Braybrook,Moonee Valley
31,3019,BRAYBROOK NORTH,VIC,144.854014,-37.784683,213031347.0,Braybrook,Moonee Valley
32,3019,ROBINSON,VIC,144.854014,-37.784683,213031347.0,Braybrook,Moonee Valley
33,3020,ALBION,VIC,144.829945,-37.777204,213011328.0,Ardeer - Albion,Wyndham
34,3020,GLENGALA,VIC,144.829945,-37.777204,213011338.0,Sunshine West,Wyndham
35,3020,SUNSHINE,VIC,144.829945,-37.777204,213011336.0,Sunshine,Wyndham
36,3020,SUNSHINE NORTH,VIC,144.829945,-37.777204,213011337.0,Sunshine North,Wyndham
37,3020,SUNSHINE WEST,VIC,144.829945,-37.777204,213011338.0,Sunshine West,Wyndham
38,3021,ALBANVALE,VIC,144.796693,-37.743361,213011333.0,Kings Park (Vic.),Melton
39,3021,KEALBA,VIC,144.796693,-37.743361,213011332.0,Keilor Downs,Melton
40,3021,KINGS PARK,VIC,144.796693,-37.743361,213011333.0,Kings Park (Vic.),Melton
41,3021,ST ALBANS,VIC,144.796693,-37.743361,213011334.0,St Albans - North,Melton
42,3022,ARDEER,VIC,144.793961,-37.795937,213011328.0,Ardeer - Albion,Brimbank
43,3022,DEER PARK EAST,VIC,144.793961,-37.795937,213011328.0,Ardeer - Albion,Brimbank
44,3023,BURNSIDE,VIC,144.770641,-37.78272,213041461.0,Burnside,Melton
45,3023,BURNSIDE HEIGHTS,VIC,144.755657,-37.73218752,213041462.0,Burnside Heights,Melton
46,3023,CAIRNLEA,VIC,144.770641,-37.78272,213011329.0,Cairnlea,Melton
47,3023,CAROLINE SPRINGS,VIC,144.770641,-37.78272,213041463.0,Caroline Springs,Melton
48,3023,DEER PARK,VIC,144.770641,-37.78272,213011330.0,Deer Park - Derrimut,Melton
49,3023,DEER PARK NORTH,VIC,144.770641,-37.78272,213011330.0,Deer Park - Derrimut,Melton
50,3023,RAVENHALL,VIC,144.770641,-37.78272,213041359.0,Rockbank - Mount Cottrell,Melton
51,3024,FIELDSTONE,VIC,144.649936,-37.75045631,213041359.0,Rockbank - Mount Cottrell,Wyndham
52,3024,MAMBOURIN,VIC,144.556552,-37.899873,213051468.0,Werribee - West,Wyndham
53,3024,MANOR LAKES,VIC,144.5812323,-37.86694209,213051369.0,Wyndham Vale,Wyndham
54,3024,MOUNT COTTRELL,VIC,144.556552,-37.899873,213051365.0,Tarneit,Wyndham
55,3024,WYNDHAM VALE,VIC,144.556552,-37.899873,213051369.0,Wyndham Vale,Wyndham
56,3025,ALTONA EAST,VIC,144.839704,-37.835562,213021343.0,Altona North,Wyndham
57,3025,ALTONA GATE,VIC,144.839704,-37.835562,213021343.0,Altona North,Wyndham
58,3025,ALTONA NORTH,VIC,144.839704,-37.835562,213021343.0,Altona North,Wyndham
59,3026,DERRIMUT,VIC,144.64209,-37.91624,213011330.0,Deer Park - Derrimut,Wyndham
60,3026,LAVERTON NORTH,VIC,144.774986,-37.829923,213051363.0,Laverton,Wyndham
61,3027,LAVERTON RAAF,VIC,144.754147,-37.932419,213051363.0,Laverton,Wyndham
62,3027,WILLIAMS LANDING,VIC,144.7430155,-37.86199812,213051363.0,Laverton,Wyndham
63,3027,WILLIAMS RAAF,VIC,144.754147,-37.932419,213051464.0,Point Cook - East,Wyndham
64,3028,ALTONA MEADOWS,VIC,144.777165,-37.875066,213021342.0,Altona Meadows,Wyndham
65,3028,LAVERTON,VIC,144.777165,-37.875066,213051363.0,Laverton,Wyndham
66,3028,SEABROOK,VIC,144.777165,-37.875066,213021345.0,Seabrook,Wyndham
67,3029,HOPPERS CROSSING,VIC,144.705831,-37.837165,213051361.0,Hoppers Crossing - North,Wyndham
68,3029,TARNEIT,VIC,144.705831,-37.837165,213051365.0,Tarneit,Wyndham
69,3029,TRUGANINA,VIC,144.705831,-37.837165,213051366.0,Truganina,Wyndham
70,3030,CHARTWELL,VIC,144.64209,-37.91624,213011330.0,Deer Park - Derrimut,Wyndham
71,3030,COCOROC,VIC,144.64209,-37.91624,213051368.0,Werribee - South,Wyndham
72,3030,POINT COOK,VIC,144.64209,-37.91624,213051466.0,Point Cook - South,Wyndham
73,3030,QUANDONG,VIC,144.64209,-37.91624,213051369.0,Wyndham Vale,Wyndham
74,3030,WERRIBEE,VIC,144.64209,-37.91624,213051368.0,Werribee - South,Wyndham
75,3030,WERRIBEE SOUTH,VIC,144.64209,-37.91624,213051368.0,Werribee - South,Wyndham
76,3031,FLEMINGTON,VIC,144.923403,-37.79119,206031115.0,Flemington,Moonee Valley
77,3031,KENSINGTON,VIC,144.923403,-37.79119,206041121.0,Kensington (Vic.),Moonee Valley
78,3032,ASCOT VALE,VIC,144.897221,-37.774486,206031113.0,Ascot Vale,Moreland
79,3032,HIGHPOINT CITY,VIC,144.897221,-37.774486,213031349.0,Maribyrnong,Moreland
80,3032,MARIBYRNONG,VIC,144.897221,-37.774486,213031349.0,Maribyrnong,Moreland
81,3032,TRAVANCORE,VIC,144.897221,-37.774486,206031115.0,Flemington,Moreland
82,3033,KEILOR EAST,VIC,144.857638,-37.74107,210011228.0,Keilor,Moonee Valley
83,3034,AVONDALE HEIGHTS,VIC,144.86194,-37.761235,210011229.0,Keilor East,Moonee Valley
84,3036,KEILOR,VIC,144.82246,-37.705324,210011228.0,Keilor,Hume
85,3036,KEILOR NORTH,VIC,144.82246,-37.705324,213011340.0,Taylors Lakes,Hume
86,3037,CALDER PARK,VIC,144.780474,-37.715579,213011340.0,Taylors Lakes,Melton
87,3037,DELAHEY,VIC,144.780474,-37.715579,213011331.0,Delahey,Melton
88,3037,HILLSIDE,VIC,144.780474,-37.715579,213041355.0,Hillside,Melton
89,3037,PLUMPTON,VIC,144.780474,-37.715579,213041355.0,Hillside,Melton
90,3037,SYDENHAM,VIC,144.780474,-37.715579,213011339.0,Sydenham,Melton
91,3037,TAYLORS HILL,VIC,144.780474,-37.715579,213041360.0,Taylors Hill,Melton
92,3038,KEILOR DOWNS,VIC,144.766873,-37.700454,213011332.0,Keilor Downs,Brimbank
93,3038,KEILOR LODGE,VIC,144.766873,-37.700454,213011340.0,Taylors Lakes,Brimbank
94,3038,TAYLORS LAKES,VIC,144.766873,-37.700454,213011340.0,Taylors Lakes,Brimbank
95,3038,WATERGARDENS,VIC,144.766873,-37.700454,213011340.0,Taylors Lakes,Brimbank
96,3039,MOONEE PONDS,VIC,144.922995,-37.766184,206031116.0,Moonee Ponds,Moreland
97,3040,ABERFELDIE,VIC,144.902556,-37.751845,206031114.0,Essendon - Aberfeldie,Moreland
98,3040,ESSENDON,VIC,144.902556,-37.751845,206031114.0,Essendon - Aberfeldie,Moreland
99,3040,ESSENDON WEST,VIC,144.902556,-37.751845,210011230.0,Niddrie - Essendon West,Moreland
100,3041,ESSENDON FIELDS,VIC,144.9011039,-37.72674618,210011227.0,Essendon Airport,Moreland
101,3041,ESSENDON NORTH,VIC,144.904815,-37.731464,206031114.0,Essendon - Aberfeldie,Moreland
102,3041,STRATHMORE,VIC,144.904815,-37.731464,210011231.0,Strathmore,Moreland
103,3041,STRATHMORE HEIGHTS,VIC,144.904815,-37.731464,210011231.0,Strathmore,Moreland
104,3042,AIRPORT WEST,VIC,144.866305,-37.727529,210011226.0,Airport West,Moreland
105,3042,KEILOR PARK,VIC,144.866305,-37.727529,210011228.0,Keilor,Moreland
106,3042,NIDDRIE,VIC,144.866305,-37.727529,210011230.0,Niddrie - Essendon West,Moreland
107,3042,NIDDRIE NORTH,VIC,144.886,-37.7393,210011230.0,Niddrie - Essendon West,Moreland
108,3043,GLADSTONE PARK,VIC,144.888368,-37.691916,210051245.0,Gladstone Park - Westmeadows,Moreland
109,3043,GOWANBRAE,VIC,144.888368,-37.691916,210031439.0,Gowanbrae,Moreland
110,3043,TULLAMARINE,VIC,144.888368,-37.691916,210051250.0,Tullamarine,Moreland
111,3044,PASCOE VALE,VIC,144.936356,-37.731138,210031239.0,Pascoe Vale,Moreland
112,3044,PASCOE VALE SOUTH,VIC,144.936356,-37.731138,206011109.0,Pascoe Vale South,Moreland
113,3045,MELBOURNE AIRPORT,VIC,144.836195,-37.674739,210051248.0,Melbourne Airport,Hume
114,3046,GLENROY,VIC,144.927968,-37.706578,210031438.0,Glenroy,Moreland
115,3046,HADFIELD,VIC,144.927968,-37.706578,210031440.0,Hadfield,Moreland
116,3046,OAK PARK,VIC,144.927968,-37.706578,210031239.0,Pascoe Vale,Moreland
117,3047,BROADMEADOWS,VIC,144.930247,-37.681105,210051242.0,Broadmeadows,Moreland
118,3047,DALLAS,VIC,144.930247,-37.681105,210051243.0,Campbellfield - Coolaroo,Moreland
119,3047,JACANA,VIC,144.930247,-37.681105,210051242.0,Broadmeadows,Moreland
120,3048,COOLAROO,VIC,144.923609,-37.653917,210051243.0,Campbellfield - Coolaroo,Hume
121,3048,MEADOW HEIGHTS,VIC,144.923609,-37.653917,210051247.0,Meadow Heights,Hume
122,3049,ATTWOOD,VIC,144.888492,-37.673182,210051245.0,Gladstone Park - Westmeadows,Hume
123,3049,WESTMEADOWS,VIC,144.888492,-37.673182,210051245.0,Gladstone Park - Westmeadows,Hume
124,3050,ROYAL MELBOURNE HOSPITAL,VIC,144.954581,-37.800324,206041124.0,Parkville,Moreland
125,3051,HOTHAM HILL,VIC,144.943559,-37.8006,206041123.0,North Melbourne,Moonee Valley
126,3051,NORTH MELBOURNE,VIC,144.943559,-37.8006,206041123.0,North Melbourne,Moonee Valley
127,3052,MELBOURNE UNIVERSITY,VIC,144.948903,-37.788996,206041124.0,Parkville,Moreland
128,3052,PARKVILLE,VIC,144.948903,-37.788996,206041124.0,Parkville,Moreland
129,3053,CARLTON,VIC,144.966112,-37.803569,206041117.0,Carlton,Yarra
130,3053,CARLTON SOUTH,VIC,144.966112,-37.803569,206041117.0,Carlton,Yarra
131,3054,CARLTON NORTH,VIC,144.96724,-37.786971,206071140.0,Carlton North - Princes Hill,Yarra
132,3054,PRINCES HILL,VIC,144.96724,-37.786971,206071140.0,Carlton North - Princes Hill,Yarra
133,3055,BRUNSWICK SOUTH,VIC,144.942222,-37.763584,206011105.0,Brunswick,Moreland
134,3055,BRUNSWICK WEST,VIC,144.942222,-37.763584,206011107.0,Brunswick West,Moreland
135,3055,MOONEE VALE,VIC,144.942222,-37.763584,206011107.0,Brunswick West,Moreland
136,3055,MORELAND WEST,VIC,144.942222,-37.763584,206011107.0,Brunswick West,Moreland
137,3056,BRUNSWICK,VIC,144.960108,-37.766292,206011105.0,Brunswick,Yarra
138,3056,BRUNSWICK LOWER,VIC,144.960108,-37.766292,206011105.0,Brunswick,Yarra
139,3056,BRUNSWICK NORTH,VIC,144.960108,-37.766292,206011105.0,Brunswick,Yarra
140,3057,BRUNSWICK EAST,VIC,144.97728,-37.770012,206011106.0,Brunswick East,Yarra
141,3057,LYGON STREET NORTH,VIC,144.97728,-37.770012,206011106.0,Brunswick East,Yarra
142,3057,SUMNER,VIC,144.98034,-37.772232,206011106.0,Brunswick East,Yarra
143,3058,BATMAN,VIC,144.964524,-37.739901,206011108.0,Coburg,Moreland
144,3058,COBURG,VIC,144.964524,-37.739901,206011108.0,Coburg,Moreland
145,3058,COBURG NORTH,VIC,144.964524,-37.739901,210031236.0,Coburg North,Moreland
146,3058,MERLYNSTON,VIC,144.964524,-37.739901,210031236.0,Coburg North,Moreland
147,3058,MORELAND,VIC,144.964524,-37.739901,206011108.0,Coburg,Moreland
148,3059,GREENVALE,VIC,144.879626,-37.639887,210051246.0,Greenvale - Bulla,Hume
149,3060,FAWKNER,VIC,144.967874,-37.707326,210031237.0,Fawkner,Moreland
150,3060,FAWKNER EAST,VIC,144.967874,-37.707326,210031237.0,Fawkner,Moreland
151,3060,FAWKNER NORTH,VIC,144.967874,-37.707326,210031237.0,Fawkner,Moreland
152,3061,CAMPBELLFIELD,VIC,144.956763,-37.666265,210051243.0,Campbellfield - Coolaroo,Whittlesea
