FID,OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,SHAPE,SE_ANNO_CAD_DATA
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ee6,1,17204,Wallan Railway Station (Wallan),-37.4169,145.0054,POINT (-37.416861 145.005372),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ee7,2,19980,Melton Railway Station (Melton South),-37.7034,144.5722,POINT (-37.70335899 144.57221604),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ee8,3,19981,Rockbank Railway Station (Rockbank),-37.7293,144.6506,POINT (-37.72926099 144.65063088),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ee9,4,19982,Deer Park Railway Station (Deer Park),-37.7778,144.7723,POINT (-37.77776397 144.77230404),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7eea,5,19998,Sunbury Railway Station (Sunbury),-37.5792,144.7282,POINT (-37.57920597 144.72816516),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7eeb,6,20020,Ardeer Railway Station (Ardeer),-37.7831,144.8022,POINT (-37.78306497 144.802188),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7eec,7,20029,Craigieburn Railway Station (Craigieburn),-37.6019,144.9433,POINT (-37.60192503 144.94330584),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7eed,8,20043,Southern Cross Railway Station (Melbourne City),-37.8183,144.9525,POINT (-37.81833399 144.95252508),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7eee,9,20287,Albury Railway Station (Albury (NSW)),-36.0843,146.9245,POINT (-36.08426196 146.92451508),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7eef,10,20288,Ararat Railway Station (Ararat),-37.2822,142.9369,POINT (-37.28220498 142.93691388),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef0,11,20289,Avenel Railway Station (Avenel),-36.8936,145.2295,POINT (-36.89364798 145.22951484),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef1,12,20290,Bacchus Marsh Railway Station (Maddingley),-37.6875,144.4369,POINT (-37.68751701 144.43685496),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef2,13,20291,Bairnsdale Railway Station (Bairnsdale),-37.8287,147.6276,POINT (-37.82871999 147.62761416),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef3,14,20292,Ballan Railway Station (Ballan),-37.6043,144.2254,POINT (-37.60430004 144.22544784),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef4,15,20293,Ballarat Railway Station (Ballarat Central),-37.5588,143.8595,POINT (-37.558791 143.85945708),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef5,16,20294,Beaufort Railway Station (Beaufort),-37.4279,143.3822,POINT (-37.42787502 143.38223388),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef6,17,20295,Benalla Railway Station (Benalla),-36.5446,145.9839,POINT (-36.54455004 145.983915),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef7,18,20296,Bendigo Railway Station (Bendigo),-36.7657,144.283,POINT (-36.76566996 144.28300896),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef8,19,20297,Birregurra Railway Station (Birregurra),-38.3288,143.7836,POINT (-38.32880796 143.78362488),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7ef9,20,20298,Broadford Railway Station (Broadford),-37.2072,145.043,POINT (-37.20719997 145.04300784),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7efa,21,20299,Bunyip Railway Station (Bunyip),-38.0991,145.7208,POINT (-38.09910798 145.72075716),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7efb,22,20300,Camperdown Railway Station (Camperdown),-38.2289,143.1509,POINT (-38.22890103 143.15092812),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7efc,23,20301,Castlemaine Railway Station (Castlemaine),-37.0628,144.2138,POINT (-37.062837 144.21379896),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7efd,24,20302,Chiltern Railway Station (Chiltern),-36.1556,146.6114,POINT (-36.155637 146.61137484),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7efe,25,20303,Clarkefield Railway Station (Clarkefield),-37.4835,144.7454,POINT (-37.48349799 144.74537316),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7eff,26,20304,Colac Railway Station (Colac),-38.3434,143.5867,POINT (-38.34337797 143.58665304),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f00,27,20305,Corio Railway Station (Corio),-38.0728,144.3798,POINT (-38.07283104 144.37976796),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f01,28,20306,Dingee Railway Station (Dingee),-36.3692,144.2311,POINT (-36.36923301 144.23112),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f02,29,20307,Donnybrook Railway Station (Donnybrook),-37.5426,144.9696,POINT (-37.54257498 144.96955488),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f03,30,20308,Drouin Railway Station (Drouin),-38.1365,145.8559,POINT (-38.13645204 145.85594688),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f04,31,20309,Eaglehawk Railway Station (Eaglehawk),-36.7185,144.2484,POINT (-36.71852499 144.24837984),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f05,32,20310,Echuca Railway Station (Echuca),-36.131,144.7535,POINT (-36.13098204 144.75345912),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f06,33,20311,Elmore Railway Station (Elmore),-36.495,144.6078,POINT (-36.49501998 144.60775812),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f07,34,20312,Euroa Railway Station (Euroa),-36.7491,145.5681,POINT (-36.74913102 145.56808908),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f08,35,20313,Garfield Railway Station (Garfield),-38.091,145.6742,POINT (-38.09103102 145.674225),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f09,36,20314,Geelong Railway Station (Geelong),-38.1442,144.355,POINT (-38.14424199 144.35498916),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f0a,37,20315,Gisborne Railway Station (New Gisborne),-37.4588,144.5987,POINT (-37.45882503 144.59872212),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f0b,38,20316,Heathcote Junction Railway Station (Heathcote Junction),-37.3717,145.0282,POINT (-37.37171304 145.028205),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f0c,39,20317,Kangaroo Flat Railway Station (Kangaroo Flat),-36.7948,144.249,POINT (-36.79483401 144.24899004),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f0d,40,20318,Kerang Railway Station (Kerang),-35.7331,143.9244,POINT (-35.73312201 143.92442484),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f0e,41,20319,Kilmore East Railway Station (Kilmore East),-37.2932,144.9836,POINT (-37.29321 144.98356608),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f0f,42,20320,Kyneton Railway Station (Kyneton),-37.2583,144.4506,POINT (-37.25827902 144.45060192),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f10,43,20321,Lara Railway Station (Lara),-38.0224,144.4144,POINT (-38.02242798 144.41440392),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f11,44,20323,Little River Railway Station (Little River),-37.9629,144.4985,POINT (-37.96292898 144.49848516),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f12,45,20324,Longwarry Railway Station (Longwarry),-38.111,145.7669,POINT (-38.11099203 145.76685984),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f13,46,20325,Macedon Railway Station (Macedon),-37.4236,144.5614,POINT (-37.42357302 144.56139696),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f14,47,20326,Malmsbury Railway Station (Malmsbury),-37.1897,144.3753,POINT (-37.18973997 144.37532304),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f15,48,20327,Marshall Railway Station (Marshall),-38.1985,144.3551,POINT (-38.19854898 144.35505684),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f16,49,20328,Moe Railway Station (Moe),-38.1769,146.2606,POINT (-38.17690902 146.26057212),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f17,50,20329,Mooroopna Railway Station (Mooroopna),-36.3991,145.3582,POINT (-36.39912804 145.35821484),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f18,51,20330,Morwell Railway Station (Morwell),-38.2367,146.3968,POINT (-38.23671897 146.39675292),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f19,52,20331,Murchison East Railway Station (Murchison East),-36.6131,145.2406,POINT (-36.61314804 145.24063596),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f1a,53,20332,Nagambie Railway Station (Nagambie),-36.7855,145.1604,POINT (-36.78546402 145.16035704),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f1b,54,20333,Nar Nar Goon Railway Station (Nar Nar Goon),-38.0816,145.5717,POINT (-38.081592 145.57166604),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f1c,55,20334,North Geelong Railway Station (North Geelong),-38.1228,144.3523,POINT (-38.12283504 144.35227188),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f1d,56,20335,North Shore Railway Station (North Shore),-38.0984,144.3653,POINT (-38.098377 144.36532116),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f1e,57,20336,Pyramid Railway Station (Pyramid Hill),-36.0531,144.1131,POINT (-36.05311296 144.11313288),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f1f,58,20337,Riddells Creek Railway Station (Riddells Creek),-37.4651,144.6798,POINT (-37.46512404 144.67983084),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f20,59,20338,Rochester Railway Station (Rochester),-36.3624,144.6987,POINT (-36.36235998 144.69868116),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f21,60,20339,Rosedale Railway Station (Rosedale),-38.1564,146.787,POINT (-38.15640396 146.78696592),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f22,61,20341,Sale Railway Station (Sale),-38.1031,147.0548,POINT (-38.10310299 147.05480484),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f23,62,20342,Seymour Railway Station (Seymour),-37.0247,145.1377,POINT (-37.02472902 145.13772888),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f24,63,20343,Shepparton Railway Station (Shepparton),-36.3838,145.4065,POINT (-36.38379096 145.40649696),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f25,64,20344,South Geelong Railway Station (South Geelong),-38.1587,144.359,POINT (-38.158659 144.35898696),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f26,65,20345,Springhurst Railway Station (Springhurst),-36.1859,146.4704,POINT (-36.18589302 146.47041684),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f27,66,20346,Stratford Railway Station (Stratford),-37.967,147.0815,POINT (-37.96704702 147.08146896),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f28,67,20347,Swan Hill Railway Station (Swan Hill),-35.3411,143.5623,POINT (-35.34111396 143.56234296),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f29,68,20348,Tallarook Railway Station (Tallarook),-37.0923,145.103,POINT (-37.09233504 145.10299716),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f2a,69,20349,Terang Railway Station (Terang),-38.2362,142.9115,POINT (-38.236212 142.91147196),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f2b,70,20350,Trafalgar Railway Station (Trafalgar),-38.2072,146.1548,POINT (-38.20724199 146.15477316),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f2c,71,20351,Traralgon Railway Station (Traralgon),-38.1989,146.5379,POINT (-38.19888504 146.53788192),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f2d,72,20352,Tynong Railway Station (Tynong),-38.085,145.6282,POINT (-38.08499598 145.62823392),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f2e,73,20353,Violet Town Railway Station (Violet Town),-36.6388,145.7159,POINT (-36.63881604 145.71592308),
PTV_REGIONAL_TRAIN_STATION.fid-3c3b5ed6_18344d972fe_7f2f,74,20355,Wandong Railway Station (Wandong),-37.3547,145.0264,POINT (-37.35467703 145.02641508),
